Código,Descrição,Unidade medida,CPC,Seção,Divisão,Grupo,Classe,Subclasse
3204,"Transporte Marítimo e Fluvial de Carga Seca                                                                             ",UN,6512,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","65: SERVIÇOS DE TRANSPORTE AQUÁTICO                                                                                         ","651: SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO                                                                ","6512: SERVIÇOS DE TRANSPORTE MARÍTIMO/COSTEIRO E TRANSOCEÂNICO DE CARGA                                                       ",
3212,"Transporte de Mudança - Local                                                                                           ",UNM3,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3220,"Transporte de Mudança - Interestadual                                                                                   ",UNM3,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3239,"Transporte Rodoviário - Pessoal por Automóveis                                                                          ",UN,6431,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6431: SERVIÇOS REGULAR/PROGRAMADO DE TRANSPORTE RODOVIÁRIO DE PAS-SAGEIROS                                                    ",
3247,"Transporte Rodoviário - Pessoal por Camionetas e Utilitários                                                            ",,,,,,,
3255,"Transporte Rodoviário - Pessoal por Coletivos "" Inativo ""                                                               ",UN,97990,"9: SERVIÇOS DA COMUNIDADE, PESSOAIS E SOCIAIS                                                                              ","97: OUTROS SERVIÇOS                                                                                                         ","979: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA                                                                                     ","9799: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA N.C.P                                                                               ","97990: OUTROS SERVIÇOS DIVERSOS/MISCELÂNEA N.C.P                                                                               "
3263,"Transporte Rodoviário - Cargas / Encomendas                                                                             ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3271,"Transporte Rodoviário Valores                                                                                           ",UNM2,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3280,"Transporte Rodoviário - Materiais Embalados, Soltos e a Gra-nel                                                         ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3298,"Transporte Rodoviário - Produtos Siderúrgicos                                                                           ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3301,"Transporte Rodoviário - Granéis Líquidos                                                                                ",UN,6433,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ",
3310,"TRANSPORTE RODOVIÁRIO DE CARGAS PESADAS OU DE DIMENSÕES ESPECIAIS                                                       ",,,,,,,
3328,"TRANSPORTE RODOVIÁRIO DE SUBSTÂNCIAS PERIGOSAS                                                                          ",,,,,,,
3336,"Transporte Rodoviário - Explosivos                                                                                      ",UN,64339,"6: SERVIÇOS DE COMÉRCIO E DISTRIB; ALOJAMENTO; SERV. DE FORNEC.DE COMIDA, BEBIDA; SERV. DE TRANSP E DISTRIB. DE UTILIDADES.","64: SERVIÇOS DE TRANSPORTE TERRESTRE                                                                                        ","643: SERVIÇOS DE TRANSPORTE RODOVIÁRIO                                                                                       ","6433: SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                              ","64339: OUTROS SERVIÇOS DE TRANSPORTE RODOVIÁRIO DE CARGA                                                                       "
